title,chunk_id,chunk_summary,character_name,gender,traits,score_intelligence,score_bravery,score_power,score_agency,score_emotionality
A DESCENT INTO THE MAELSTRÖM,0,"An old man recounts a traumatic, life-changing event during a mountain climb",the old man,unknown,"[""exhausted"", ""traumatized""]",0,0,0,0,1
A DESCENT INTO THE MAELSTRÖM,1,An old man describes his physical decline and fear of a cliff.,the old man,unknown,"[""physically weakened"", ""fearful"", ""careless""]",0,-2,0,0,1
A DESCENT INTO THE MAELSTRÖM,2,Narrator describes fear and peril near a dangerous mountain edge,narrator,unknown,"[""fearful"", ""excited"", ""cautious""]",0,-2,0,-1,1
A DESCENT INTO THE MAELSTRÖM,3,Narrator and guide observe a scene near the Norwegian coast.,the guide,unknown,"[""knowledgeable"", ""particularizing""]",1,0,0,1,0
A DESCENT INTO THE MAELSTRÖM,3,Narrator and guide observe a scene near the Norwegian coast.,the narrator,unknown,"[""curious""]",0,0,0,0,0
A DESCENT INTO THE MAELSTRÖM,10,Narrator describes witnessing the Maelström and discusses its name and reputation,the narrator,unknown,"[""nervous"", ""agitated""]",0,0,0,0,1
A DESCENT INTO THE MAELSTRÖM,10,Narrator describes witnessing the Maelström and discusses its name and reputation,the old man,unknown,"[""informative""]",0,0,0,0,0
A DESCENT INTO THE MAELSTRÖM,10,Narrator describes witnessing the Maelström and discusses its name and reputation,Jonas Ramus,unknown,"[""circumstantial""]",0,0,0,0,0
A DESCENT INTO THE MAELSTRÖM,10,Narrator describes witnessing the Maelström and discusses its name and reputation,the scene,unknown,"[""magnificent"", ""horrific""]",0,0,0,0,0
A DESCENT INTO THE MAELSTRÖM,14,Describes a bear caught in a turbulent stream and the environment,the bear,unknown,"[""roaring terribly""]",0,0,0,0,0
A DESCENT INTO THE MAELSTRÖM,16,Narrator reflects on Jonas Ramus and the phenomenon of the Maelström,the narrator,unknown,"[""observant"", ""thoughtful""]",1,0,0,0,1
A DESCENT INTO THE MAELSTRÖM,16,Narrator reflects on Jonas Ramus and the phenomenon of the Maelström,Jonas Ramus,unknown,"[""honest""]",1,0,0,0,0
A DESCENT INTO THE MAELSTRÖM,18,Discussion about the Maelström's mysterious abyss and Norwegian beliefs,the narrator,unknown,"[""curious"", ""imaginative""]",0,0,0,0,0
